"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97","Cart > CART-11 Continue shopping returns to products","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","134","Payment > PAY-02 Card name accepts text","firefox","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","131","Address Shipping > SHIP-07 Shipping method can be changed","firefox","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","1209","Authentication > AUTH-10 Profile greeting uses stored user","webkit","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","130","Persistence > PERS-11 Last order can be stored","firefox","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","54","Customer Support > SUP-13 Support ticket is stored","firefox","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","37","Payment > PAY-15 Payment page remains readable after submit","chromium","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","459","Product > PROD-01 Product page shows heading","webkit","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","530","Payment > PAY-07 Invalid card is rejected","firefox","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","759","Customer Support > SUP-10 Support subject accepts text","webkit","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","117","Address Shipping > SHIP-05 State field accepts text","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","185","Cart > CART-15 Cart table hides after clearing","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","396","Persistence > PERS-06 Support ticket persists","chromium","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","193","Cart > CART-06 Subtotal is calculated","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","187","User Profile > PROF-14 Empty name saves as User fallback","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","298","Customer Support > SUP-01 Support page opens","firefox","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","74","Customer Support > SUP-06 Support priority can be high","chromium","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","101","Authentication > AUTH-10 Profile greeting uses stored user","chromium","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","96","Address Shipping > SHIP-14 Checkout can reopen saved shipping form","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","1244","User Profile > PROF-12 Profile values survive reload","firefox","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","2226","Persistence > PERS-09 Cart storage can be cleared","webkit","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","391","Authentication > AUTH-13 Logout button is available in profile","firefox","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","215","Persistence > PERS-05 Shipping method persists","webkit","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","1188","Address Shipping > SHIP-14 Checkout can reopen saved shipping form","webkit","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","128","Address Shipping > SHIP-06 Zip field accepts valid zip","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","544","Payment > PAY-04 Expiry accepts text","webkit","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","2450","API Internal > API-05 Cart API returns current cart array","webkit","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","24","Cart > CART-10 Cart count reflects removal","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","239","Address Shipping > SHIP-02 Name field accepts text","firefox","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","160","API Internal > API-10 Payment API rejects zero amount","webkit","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","194","Address Shipping > SHIP-12 Continue to payment opens payment page","firefox","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","116","User Profile > PROF-06 Greeting updates after profile save","firefox","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","368","Cart > CART-01 Cart opens from navigation","firefox","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","34","Customer Support > SUP-04 Support subject field is visible","firefox","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","42","API Internal > API-11 API product shape has price","webkit","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","29","Cart > CART-13 Cart data exists in localStorage","chromium","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","1874","User Profile > PROF-14 Empty name saves as User fallback","webkit","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","396","Cart > CART-03 Adding one item updates cart count","firefox","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","167","Cart > CART-11 Continue shopping returns to products","firefox","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","1269","Address Shipping > SHIP-12 Continue to payment opens payment page","webkit","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","41","Address Shipping > SHIP-11 Saved city is stored","chromium","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","419","Payment > PAY-02 Card name accepts text","webkit","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","2439","Authentication > AUTH-04 Invalid login shows validation message","webkit","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","181","Cart > CART-13 Cart data exists in localStorage","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","224","Persistence > PERS-12 Saved data is valid JSON","webkit","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","318","User Profile > PROF-15 Profile can be updated again","firefox","2026-05-29","broken","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","102","Payment > PAY-02 Card name accepts text","chromium","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","220","Payment > PAY-09 Payment stores last order","webkit","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","175","API Internal > API-07 Ticket API returns 201","firefox","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","174","User Profile > PROF-07 Load profile button restores saved values","chromium","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","1019","Persistence > PERS-10 Cleared cart remains clear after reload","firefox","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","169","Customer Support > SUP-15 Support navigation keeps single page app active","webkit","2026-05-29","skipped","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","1342","Cart > CART-11 Continue shopping returns to products","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","177","Payment > PAY-14 Order id is generated","webkit","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","230","Authentication > AUTH-03 Password field is visible","webkit","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","448","API Internal > API-04 Missing product API returns null","firefox","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","196","Authentication > AUTH-07 Login shows profile navigation link","webkit","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","222","API Internal > API-02 Product list API returns three products","firefox","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","1761","API Internal > API-05 Cart API returns current cart array","firefox","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","32","Persistence > PERS-05 Shipping method persists","chromium","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","40","Authentication > AUTH-08 Login flag is stored","chromium","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","431","Product > PROD-13 Brand search works","firefox","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","217","Authentication > AUTH-14 Logout clears login flag","firefox","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","160","API Internal > API-12 API product shape has category","webkit","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","53","Address Shipping > SHIP-15 Shipping form still contains selected method","firefox","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","124","Product > PROD-08 Category filter works","chromium","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","187","User Profile > PROF-06 Greeting updates after profile save","webkit","2026-05-29","passed","2026-05-29","User Profile same-tab tests","profile.spec.js","",""
"","37","Authentication > AUTH-15 Logout returns user to product section","chromium","2026-05-29","passed","2026-05-29","Authentication same-tab tests","auth.spec.js","",""
"","182","Payment > PAY-07 Invalid card is rejected","chromium","2026-05-29","passed","2026-05-29","Payment same-tab tests","payment.spec.js","",""
"","191","Address Shipping > SHIP-14 Checkout can reopen saved shipping form","firefox","2026-05-29","passed","2026-05-29","Address Shipping same-tab tests","shipping.spec.js","",""
"","1024","Cart > CART-07 Quantity can be updated","webkit","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","107","Customer Support > SUP-11 Support message accepts text","firefox","2026-05-29","passed","2026-05-29","Customer Support same-tab tests","support.spec.js","",""
"","192","Persistence > PERS-08 Current user survives reload","webkit","2026-05-29","passed","2026-05-29","Persistence same-tab tests","persistence.spec.js","",""
"","182","API Internal > API-08 Ticket API returns generated id","webkit","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","33","Product > PROD-05 Product categories are visible","chromium","2026-05-29","passed","2026-05-29","Product same-tab tests","product.spec.js","",""
"","256","Cart > CART-07 Quantity can be updated","firefox","2026-05-29","passed","2026-05-29","Cart same-tab tests","cart.spec.js","",""
"","32","API Internal > API-07 Ticket API returns 201","chromium","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
"","357","API Internal > API-15 API remains available after reload","webkit","2026-05-29","passed","2026-05-29","API Internal same-tab tests","api.spec.js","",""
